id,claim_id,source_id,document_sha256,page,section_or_table,page_line_start,page_line_end,text_snapshot_sha256,page_text_sha256,period,unit,currency,scope,audit_status,source_text,formula,limitations
XP-011,industry_cycle,I01,aa3d92eb103e5f7913d84672479e920f71da6fe28c9e82d7ffba711d58b6dcff,,official release,1,1,cc063ed8405cfe53f1a91299b613ea1e29058f9d57186d5deca59fc6a4916c55,cc063ed8405cfe53f1a91299b613ea1e29058f9d57186d5deca59fc6a4916c55,2026H1,vehicles / percent,not_applicable,china_auto_industry,not_applicable,"2026H1 NEV sales 7.446m, +7.3%; penetration 49.6%.",official industry statistics,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-012,price_state,M01,ab922386ade7d045ffe519fcf8943e7be056fc45b3aca899d2c34e8d269c97fc,,single-line JSON snapshot,1,1,946433736a1e5c38ea1d0e1d2738c44e4a31b69711c034132c4eb20c20309bc1,946433736a1e5c38ea1d0e1d2738c44e4a31b69711c034132c4eb20c20309bc1,2026-08-07,HKD / percent / ratio,HKD,listed_security,not_applicable,Close HK$46.64; MA20 50.36; MA60 55.13; MA200 69.36; 5D -7.83%; volume/ADTV20 0.81x.,adjusted daily series; 12.287m / 15.180m,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-013,q2_2025_frozen_official_guidance,F08,916c9be66a2a75d47b7968651a33429ee57d37f2636b8ceb23540325b1ba4646,5,183–190,1,1,61ca99ce7e7b178f4de694febdfdb5e63bbbbb7367f039e7087d1927b1a71ce0,61ca99ce7e7b178f4de694febdfdb5e63bbbbb7367f039e7087d1927b1a71ce0,2025Q2 guidance,vehicles / RMB billion,CNY,consolidated_group,unaudited,"Q2 delivery guidance 102,000–108,000; revenue guidance RMB17.5bn–18.7bn.",official pre-result guidance range,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-014,q2_2025_actual_quality,F09,fcdb9db5d0a59149657e09eb094439f23144563dd4e9eebdd96467da1392323e,1,31–64,1,1,6025251b81e5809952121b04f8d63b64be7e04820e015b3da39d4370cf42a0b1,6025251b81e5809952121b04f8d63b64be7e04820e015b3da39d4370cf42a0b1,2025Q2,RMB billion / percent,CNY,consolidated_group,unaudited,Revenue RMB18.27bn; vehicle margin 14.3%; net loss RMB0.48bn; cash position RMB47.57bn.,directly reported; unaudited,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-015,founder_purchase_event,F10,96dd421e3f115ffda12d0e81405e01a2d55274be4e497823d81276e22ba309df,1,10–23,1,1,27b5a3896ffebcfde3898a2aebf29717bbf4b75f694da42d74a9d6d4c4aff00a,27b5a3896ffebcfde3898a2aebf29717bbf4b75f694da42d74a9d6d4c4aff00a,2025-08-20 to 2025-08-21,shares / HKD,HKD,controlling_shareholder_transaction,not_applicable,"He Xiaopeng purchased 3.1m Class A shares at average HK$80.49 during August 20–21, 2025.",3.1m × HK$80.49 ≈ HK$249.5m,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-016,new_p7_launch,F11,249a8bdff2c08a568c4a7feed873b5ffdc3e4610cac58a61d8906f0863a10d54,1,9–15,1,1,abec21755b08712f2a5d98fe473fedc82709fb52efcf4c54f6e51f99e08375f9,abec21755b08712f2a5d98fe473fedc82709fb52efcf4c54f6e51f99e08375f9,2025-08,date / vehicles,not_applicable,company_operating_kpi,not_applicable,"New XPENG P7 launched August 27, 2025; nationwide delivery commenced August 28.",directly reported,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-017,july_2026_delivery,F12,22eaa67ac177213417162023835df8cb2ef8a7c4e117987843e773eff9d6e91f,1,10–23,1,1,6ef30ed4028af04940dd81289350d038dd14f7ccd1304d0be467baad4b16518a,6ef30ed4028af04940dd81289350d038dd14f7ccd1304d0be467baad4b16518a,2026-07,vehicles / percent,not_applicable,company_operating_kpi,not_applicable,"July deliveries 38,027, +4% YoY; derived -5.2% versus June 40,126.","38,027 / 40,126 - 1 = -5.2% MoM",Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-018,q2_2026_confirmed_results_date,F13,7a85eb7b17d8f7b2cdd828499563f75e1e73ad7309f6fb047ddf3db62278cc75,1,9–17,1,1,d9ad6506d61aff59b2a9019024b342eabffc7e4496b36720215123c2f0b7da27,d9ad6506d61aff59b2a9019024b342eabffc7e4496b36720215123c2f0b7da27,2026Q2 results date,date/time,not_applicable,listed_security,not_applicable,"Q2 2026 results and conference call confirmed for August 24, 2026 at 20:00 Beijing/Hong Kong time.",directly reported,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-019,hstech_event_benchmark,M03,1733581caa4331de8949e48ba776118fcf788714edd31ce89f0e74d2744421d9,,single-line JSON snapshot; daily array through 2026-08-07,1,1,5823586c2bbc7e358324fd5869fa56ef3399109f378261a99ff9a5e324f8f376,5823586c2bbc7e358324fd5869fa56ef3399109f378261a99ff9a5e324f8f376,through 2026-08-07,index points,not_applicable,market_benchmark,not_applicable,"HSTECH closes used for XPeng event-window relative returns, including 4,829.22 on 2026-07-31 and 4,858.29 on 2026-08-07.",benchmark return = end close / pre-event close - 1,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-020,consensus_cross_check,M04,7c1d3dabfb8d8515e3ed711748798bee30aa7833bdd3c374813b8a9424ec4aaa,,embedded priceTargets object,1,1,f3c07bc14de6cc66b76eba9a3caf1bf7e8e47ad98df48879ed84639421b3079f,f3c07bc14de6cc66b76eba9a3caf1bf7e8e47ad98df48879ed84639421b3079f,2026-07-31,USD per XPEV ADS,USD,NYSE_XPEV_ADS,not_applicable,"25 targets: low US$15.04, average US$22.04, median US$22.05, high US$28.11.",Secondary provider citing S&P Global; not Seed fair value,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
