period,metric,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2022,capital_expenditure,65.761,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 21 (report p.19)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"65.231 PPE + 0.530 intangibles",
2022,depreciation_and_amortisation,62.783,RMB_mn,RMB,group_as_then_reported,derived_from_audited,MT_AR2022,"PDF 253 (report p.251)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"6.948 PPE + 20.082 intangibles + 35.753 ROU",
2022,employee_share_based_compensation,47.324,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 253 (report p.251)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,reported,"Treated as an economic owner cost, not an automatic add-back."
2022,cash_and_other_liquid_financial_resources,1390.031,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 21 (report p.19)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"946.602 cash + 352.908 current deposits + 50.000 long deposits + 40.521 short-term investments","Excludes RMB0.300m restricted cash."
2022,owner_earnings_base,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,,"No like-for-like continuing-operations bridge is available; see owner-earnings-bridge.csv."
2023,revenue,2695.738,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,reported,"Includes businesses subsequently discontinued or disposed."
2023,revenue_yoy,29.272,pct,NA,group_as_then_reported,derived_from_audited,"MT_AR2022;F10","MT_AR2022 PDF 158; F10 PDF 164","https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf","(2695.738/2085.329-1)*100",
2023,gross_profit,1655.876,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,reported,
2023,gross_margin,61.426,pct,NA,group_as_then_reported,derived_from_audited,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"1655.876/2695.738*100",
2023,profit_attributable_to_owners,378.293,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,reported,
2023,profit_attributable_to_owners_continuing,,RMB_mn,RMB,continuing_operations,source_gap,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,,"The report did not retrospectively split the beauty business discontinued in 2025."
2023,net_cash_from_operating_activities,413.225,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 170 (report p.168)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,reported,
2023,capital_expenditure,52.003,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"47.363 PPE + 4.640 intangibles",
2023,depreciation_and_amortisation,50.818,RMB_mn,RMB,group_as_then_reported,derived_from_audited,F10,"PDF 239 (report p.237)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"20.728 PPE + 7.993 intangibles + 22.097 ROU",
2023,employee_share_based_compensation,51.079,RMB_mn,RMB,group_as_then_reported,audited,F10,"PDF 239 (report p.237)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,reported,"Treated as an economic owner cost, not an automatic add-back."
2023,cash_and_other_liquid_financial_resources,1404.438,RMB_mn,RMB,group,audited,F10,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"640.629 cash + 532.959 current deposits + 90.000 long deposits + 140.850 short-term investments","Excludes RMB0.300m restricted cash."
2023,owner_earnings_base,,RMB_mn,RMB,continuing_operations,source_gap,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,,"No like-for-like continuing-operations bridge is available; see owner-earnings-bridge.csv."
2024,revenue,2996.182,RMB_mn,RMB,continuing_operations,audited_restated,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported_restated,"Replaces the RMB3,340.761m total-group revenue originally reported in the 2024 annual report."
2024,revenue_yoy,11.145,pct,NA,continuing_2024_vs_group_2023,derived_scope_break,"F10;F01","F10 PDF 164; F01 PDF 199","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf","(2996.182/2695.738-1)*100","Not like-for-like because 2023 was not retrospectively restated for the 2025 discontinued business."
2024,gross_profit,2277.812,RMB_mn,RMB,continuing_operations,audited_restated,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported_restated,
2024,gross_margin,76.024,pct,NA,continuing_operations,derived_from_audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"2277.812/2996.182*100",
2024,profit_attributable_to_owners,805.176,RMB_mn,RMB,total_group,audited,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2024,profit_attributable_to_owners_continuing,798.875,RMB_mn,RMB,continuing_operations,audited_restated,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported_restated,
2024,net_cash_from_operating_activities,745.807,RMB_mn,RMB,total_group,audited,F09,"PDF 154 (report p.152)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,reported,
2024,net_cash_from_operating_activities_continuing,784.571,RMB_mn,RMB,continuing_operations,derived_from_audited,F01,"PDF 206 and PDF 271 (report pp.204 and 269)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"745.807 - (-38.764 discontinued CFO)","Cash-flow statement remains group-wide; continuing CFO is derived from the separately disclosed discontinued cash flows."
2024,capital_expenditure,52.973,RMB_mn,RMB,total_group,audited,F09,"PDF 21 (report p.19)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"46.323 PPE + 6.650 intangibles","Continuing-only capex was not disclosed."
2024,depreciation_and_amortisation,84.219,RMB_mn,RMB,total_group,derived_from_audited,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"39.112 PPE + 12.964 intangibles + 32.143 ROU","Continuing-only D&A was not disclosed."
2024,employee_share_based_compensation,84.290,RMB_mn,RMB,total_group,audited,F09,"PDF 20 and PDF 211 (report pp.18 and 209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,reported,"Treated as an economic owner cost, not an automatic add-back."
2024,cash_and_other_liquid_financial_resources,2998.851,RMB_mn,RMB,group,audited,F09,"PDF 21 (report p.19)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"1301.412 cash + 1398.154 current deposits + 42.405 long deposits + 256.880 short-term investments","Excludes RMB33.137m restricted cash."
2024,owner_earnings_base,502.978,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,"F01;F09","F01 PDF 200; F09 PDF 20, 21 and 211","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","See owner-earnings-bridge.csv","Not company guidance; continuing-only D&A and capex are unavailable."
2025,revenue,3858.738,RMB_mn,RMB,continuing_operations,audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2025,revenue_yoy,28.789,pct,NA,continuing_operations,derived_from_audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"(3858.738/2996.182-1)*100","Like-for-like continuing-operations comparison."
2025,gross_profit,2838.813,RMB_mn,RMB,continuing_operations,audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2025,gross_margin,73.568,pct,NA,continuing_operations,derived_from_audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"2838.813/3858.738*100",
2025,profit_attributable_to_owners,582.900,RMB_mn,RMB,total_group,audited,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2025,profit_attributable_to_owners_continuing,697.563,RMB_mn,RMB,continuing_operations,audited,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2025,profit_attributable_to_owners_continuing_yoy,-12.681,pct,NA,continuing_operations,derived_from_audited,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"(697.563/798.875-1)*100","Decline is dominated by the Alibaba CB IFRS 2 issuance charge and other non-operating items; use the owner-earnings bridge for recurring economics."
2025,net_cash_from_operating_activities,1257.010,RMB_mn,RMB,total_group,audited,F01,"PDF 206 (report p.204)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,
2025,net_cash_from_operating_activities_continuing,1240.734,RMB_mn,RMB,continuing_operations,derived_from_audited,F01,"PDF 206 and PDF 271 (report pp.204 and 269)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"1257.010-16.276 discontinued CFO","Cash-flow statement remains group-wide; continuing CFO is derived from the separately disclosed discontinued cash flows."
2025,capital_expenditure,49.867,RMB_mn,RMB,total_group,audited,F01,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"25.968 PPE + 22.660 land-use rights + 1.239 intangibles","Continuing-only capex was not disclosed."
2025,depreciation_and_amortisation,83.875,RMB_mn,RMB,total_group,derived_from_audited,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"35.709 PPE + 15.678 intangibles + 32.488 ROU","Continuing-only D&A was not disclosed."
2025,employee_share_based_compensation,118.496,RMB_mn,RMB,total_group,audited,F01,"PDF 23 and PDF 268 (report pp.21 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,reported,"Excludes the separate RMB511.811m CB issuance charge; employee SBC remains an economic owner cost."
2025,cash_and_other_liquid_financial_resources,4936.768,RMB_mn,RMB,group,audited,F01,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"3514.504 cash + 467.448 current deposits + 30.114 long deposits + 924.702 treasury investments","Excludes RMB3.129m restricted cash and is before debt-like liabilities."
2025,owner_earnings_base,957.881,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,F01,"PDF 23, 24, 200 and 268 (report pp.21, 22, 198 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"See owner-earnings-bridge.csv","Not company guidance; employee SBC remains expensed and no working-capital float is credited in the base case."
2025,owner_earnings_base_yoy,90.444,pct,NA,continuing_operations_proxy,derived_scenario,"F01;F09","See owner-earnings-bridge.csv","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","(957.881/502.978-1)*100","Scenario-to-scenario comparison, not audited earnings growth."
