period,scenario,line_order,line_item,value,sign,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2022-12-31,reported_debt_like,3,noncurrent_term_deposits,50.000,1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 160 (report p.158)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,+50.000,
2022-12-31,reported_debt_like,4,short_term_investments,40.521,1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 160 (report p.158)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,+40.521,"No public security-level liquidity haircut is applied."
2022-12-31,reported_debt_like,5,restricted_cash_excluded,0.300,0,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 160 (report p.158)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,0,"Displayed but not included in cash-like resources."
2022-12-31,reported_debt_like,6,borrowings,10.000,-1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 161 (report p.159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,-10.000,
2022-12-31,reported_debt_like,7,lease_liabilities,28.154,-1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 161 (report p.159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"-(11.370+16.784)",
2022-12-31,reported_debt_like,8,net_cash_after_debt_like,1351.877,0,RMB_mn,RMB,group,derived,MT_AR2022,"PDF 160-161 (report pp.158-159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"946.602+352.908+50.000+40.521-10.000-28.154","Excludes restricted cash and does not apply liquidity or tax haircuts."
2023-12-31,reported_debt_like,1,cash_and_other_liquid_financial_resources,1404.438,1,RMB_mn,RMB,group,audited,F10,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"640.629 cash + 532.959 current deposits + 90.000 long deposits + 140.850 short-term investments",
2023-12-31,reported_debt_like,2,restricted_cash_excluded,0.300,0,RMB_mn,RMB,group,audited,F10,"PDF 166 (report p.164)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,0,"Displayed but not included in company-reported liquid resources."
2023-12-31,reported_debt_like,3,borrowings,14.980,-1,RMB_mn,RMB,group,audited,F10,"PDF 167 (report p.165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,-14.980,
2023-12-31,reported_debt_like,4,lease_liabilities,75.301,-1,RMB_mn,RMB,group,audited,F10,"PDF 167 (report p.165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"-(45.346+29.955)",
2023-12-31,reported_debt_like,5,subsidiary_convertible_redeemable_preferred_shares,134.571,-1,RMB_mn,RMB,group,audited,F10,"PDF 167 (report p.165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,-134.571,"Pixocial preference shares are a group liability and debt-like for this bridge; they do not convert into Meitu ordinary shares."
2023-12-31,reported_debt_like,6,net_cash_after_debt_like,1179.586,0,RMB_mn,RMB,group,derived,F10,"PDF 23 and PDF 166-167 (report pp.21 and 164-165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"1404.438-14.980-75.301-134.571","Excludes restricted cash and does not apply liquidity or tax haircuts."
2024-12-31,reported_debt_like,1,cash_and_other_liquid_financial_resources,2998.851,1,RMB_mn,RMB,group,audited,F09,"PDF 21 (report p.19)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"1301.412 cash + 1398.154 current deposits + 42.405 long deposits + 256.880 short-term investments",
2024-12-31,reported_debt_like,2,restricted_cash_excluded,33.137,0,RMB_mn,RMB,group,audited,F09,"PDF 150 (report p.148)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,0,"RMB0.300m guaranteed operating payments and RMB32.837m collateralised a bank borrowing; neither is included in company-reported liquid resources."
2024-12-31,reported_debt_like,3,borrowings,102.890,-1,RMB_mn,RMB,group,audited,F09,"PDF 151 (report p.149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-102.890,
2024-12-31,reported_debt_like,4,lease_liabilities,51.831,-1,RMB_mn,RMB,group,audited,F09,"PDF 151 (report p.149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"-(27.235+24.596)",
2024-12-31,reported_debt_like,5,subsidiary_convertible_redeemable_preferred_shares,163.627,-1,RMB_mn,RMB,group,audited,F09,"PDF 151 (report p.149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-163.627,"Pixocial preference shares are a group liability and debt-like for this bridge; they do not convert into Meitu ordinary shares."
2024-12-31,reported_debt_like,6,net_cash_after_debt_like,2680.503,0,RMB_mn,RMB,group,derived,F09,"PDF 21 and PDF 150-151 (report pp.19 and 148-149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"2998.851-102.890-51.831-163.627","Excludes restricted cash and does not apply liquidity or tax haircuts."
2025-12-31,reported_cb_carrying_value,1,cash_and_cash_equivalents,3514.504,1,RMB_mn,RMB,group,audited,F01,"PDF 202 (report p.200)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+3514.504,
2025-12-31,reported_cb_carrying_value,2,current_term_deposits,467.448,1,RMB_mn,RMB,group,audited,F01,"PDF 202 (report p.200)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+467.448,
2025-12-31,reported_cb_carrying_value,3,noncurrent_term_deposits,30.114,1,RMB_mn,RMB,group,audited,F01,"PDF 202 (report p.200)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+30.114,
2025-12-31,reported_cb_carrying_value,4,treasury_investments,924.702,1,RMB_mn,RMB,group,audited,F01,"PDF 202 (report p.200)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"884.146 current + 40.556 noncurrent","No public security-level liquidity haircut is applied."
2025-12-31,reported_cb_carrying_value,5,restricted_cash_excluded,3.129,0,RMB_mn,RMB,group,audited,F01,"PDF 202 (report p.200)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,0,"Held to guarantee operating payments and excluded from cash-like resources."
2025-12-31,reported_cb_carrying_value,6,borrowings,20.000,-1,RMB_mn,RMB,group,audited,F01,"PDF 203 (report p.201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-20.000,
2025-12-31,reported_cb_carrying_value,7,lease_liabilities,31.236,-1,RMB_mn,RMB,group,audited,F01,"PDF 203 (report p.201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"-(5.580+25.656)",
2025-12-31,reported_cb_carrying_value,8,subsidiary_convertible_redeemable_preferred_shares,186.966,-1,RMB_mn,RMB,group,audited,F01,"PDF 203 (report p.201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-186.966,"Pixocial preference shares are a group liability and debt-like for this bridge; they do not convert into Meitu ordinary shares."
2025-12-31,reported_cb_carrying_value,9,alibaba_convertible_bond_debt_component,1406.692,-1,RMB_mn,RMB,group,audited,F01,"PDF 203 and PDF 264 (report pp.201 and 262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-1406.692,"IFRS carrying value of the cash-settled debt component; lower than the RMB1,757.2m principal claim."
2025-12-31,reported_cb_carrying_value,10,net_cash_after_debt_like,3291.874,0,RMB_mn,RMB,group,derived,F01,"PDF 202-203 and PDF 264 (report pp.200-201 and 262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"3514.504+467.448+30.114+924.702-20.000-31.236-186.966-1406.692","Balance-sheet carrying-value view; it understates cash redemption exposure because the bond principal exceeds the carrying debt component."
2025-12-31,redemption_at_principal,1,cash_and_other_liquid_financial_resources,4936.768,1,RMB_mn,RMB,group,audited,F01,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"3514.504+467.448+30.114+924.702",
2025-12-31,redemption_at_principal,2,borrowings_lease_and_subsidiary_preference_shares,238.202,-1,RMB_mn,RMB,group,derived,F01,"PDF 203 (report p.201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"-(20.000+31.236+186.966)",
2025-12-31,redemption_at_principal,3,alibaba_cb_principal_claim,1757.200,-1,RMB_mn,RMB,group,audited,F01,"PDF 263-264 (report pp.261-262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-1757.200,"US$250m translated at issuance; actual redemption cash in RMB will vary with FX and unpaid interest."
2025-12-31,redemption_at_principal,4,net_cash_after_principal_redemption_claim,2941.366,0,RMB_mn,RMB,group,derived_stress,F01,"PDF 24, PDF 203 and PDF 263-264 (report pp.22, 201 and 261-262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"4936.768-238.202-1757.200","Does not include future coupon, default interest, taxes or FX movement; this is a claim view, not the audited carrying-value balance."
2025-12-31,full_conversion,1,cash_and_other_liquid_financial_resources,4936.768,1,RMB_mn,RMB,group,audited,F01,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"3514.504+467.448+30.114+924.702",
2025-12-31,full_conversion,2,borrowings_lease_and_subsidiary_preference_shares,238.202,-1,RMB_mn,RMB,group,derived,F01,"PDF 203 (report p.201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"-(20.000+31.236+186.966)",
2025-12-31,full_conversion,3,alibaba_cb_debt_removed,1406.692,0,RMB_mn,RMB,group,derived_scenario,F01,"PDF 264 (report p.262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,0,"Full conversion removes the reported debt component from the net-cash subtraction; the corresponding share dilution is added in fully-diluted-share-bridge.csv."
2025-12-31,full_conversion,4,net_cash_after_full_conversion,4698.566,0,RMB_mn,RMB,group,derived_scenario,F01,"PDF 24, PDF 203 and PDF 264 (report pp.22, 201 and 262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"4936.768-238.202","Assumes conversion rather than cash redemption and leaves cash unchanged; it must be paired with 325.742m principal-only shares or up to 335.514m shares including accrued interest."
