period,scenario,line_order,line_item,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2024,low,8,employee_share_based_compensation_adjustment,0.000,RMB_mn,RMB,continuing_operations,research_policy,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,0,"RMB84.290m of employee share-based compensation was already expensed under IFRS and is retained as an owner cost; it is not added back."
2024,low,9,normalised_continuing_earnings_after_noncore_items,487.355,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,"F01;F09","F01 PDF 200; F09 PDF 20","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","798.875+343.424-639.556+13.012+35.170-56.320-7.250","Group reconciliation adjustments are applied to the restated continuing owners' profit because a separate continuing adjustment table was not disclosed."
2024,low,10,depreciation_and_amortisation_added_back,84.219,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"39.112 PPE depreciation + 12.964 intangible amortisation + 32.143 ROU depreciation","The cash-flow note is group-wide and includes the later-discontinued business; a continuing-only split is not disclosed."
2024,low,11,maintenance_capex,-84.219,RMB_mn,RMB,scenario_assumption,research_scenario,"F09","PDF 21 and PDF 211 (report pp.19 and 209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-84.219,"Low case assumes maintenance investment equals total D&A; it is deliberately more conservative than reported cash capex."
2024,low,12,normalised_working_capital_benefit,0.000,RMB_mn,RMB,scenario_assumption,research_scenario,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,0,"Low case gives no credit for subscription-funded working-capital float."
2024,low,13,owner_earnings,487.355,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,"F01;F09","F01 PDF 200; F09 PDF 20, 21 and 211","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","487.355+84.219-84.219+0","Not company guidance; continuing-only D&A, capex and working-capital splits are unavailable."
2024,base,1,normalised_continuing_earnings_after_noncore_items,487.355,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,"F01;F09","F01 PDF 200; F09 PDF 20","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","798.875+343.424-639.556+13.012+35.170-56.320-7.250","Employee SBC remains expensed; group adjustments are applied to a restated continuing start."
2024,base,2,depreciation_and_amortisation_added_back,84.219,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"39.112+12.964+32.143","Continuing-only split is unavailable."
2024,base,3,maintenance_capex,-68.596,RMB_mn,RMB,scenario_assumption,research_scenario,F09,"PDF 21 and PDF 211 (report pp.19 and 209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"-(84.219+52.973)/2","Midpoint of total D&A and reported cash capex; no company maintenance-capex disclosure."
2024,base,4,normalised_working_capital_benefit,0.000,RMB_mn,RMB,scenario_assumption,research_scenario,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,0,"Base case gives no credit for working-capital float until durability is proven over a longer cycle."
2024,base,5,owner_earnings,502.978,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,"F01;F09","F01 PDF 200; F09 PDF 20, 21 and 211","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","487.355+84.219-68.596+0","Not company guidance; maintenance capex is a scenario."
2024,high,1,normalised_continuing_earnings_after_noncore_items,487.355,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,"F01;F09","F01 PDF 200; F09 PDF 20","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","798.875+343.424-639.556+13.012+35.170-56.320-7.250","Employee SBC remains expensed; group adjustments are applied to a restated continuing start."
2024,high,2,depreciation_and_amortisation_added_back,84.219,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F09,"PDF 211 (report p.209)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"39.112+12.964+32.143","Continuing-only split is unavailable."
2024,high,3,maintenance_capex,-52.973,RMB_mn,RMB,scenario_assumption,research_scenario,F09,"PDF 21 (report p.19)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"-(46.323+6.650)","High owner-earnings case treats all reported cash capex as maintenance capex; land-use rights were nil in 2024."
2024,high,4,normalised_working_capital_benefit,41.698,RMB_mn,RMB,scenario_assumption,research_scenario,"MT_AR2022;F10;F09","MT_AR2022 PDF 253; F10 PDF 239; F09 PDF 211","https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","50% * median(83.396,18.246,99.293)","Only half of the three-year median operating working-capital cash benefit is credited; the calculation includes contract-liability float and remains a scenario."
2024,high,5,owner_earnings,560.299,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,"F01;F09;F10;MT_AR2022","F01 PDF 200; F09 PDF 20, 21 and 211; F10 PDF 239; MT_AR2022 PDF 253","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf","487.355+84.219-52.973+41.698","Not company guidance; the working-capital benefit may reverse if subscription growth slows or refunds/platform settlement terms change."
2025,low,1,profit_attributable_to_owners_from_continuing_operations,697.563,RMB_mn,RMB,continuing_operations,audited,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,starting_point,"Audited continuing-operations owners' profit."
2025,low,2,fvtpl_and_subsidiary_preference_share_fair_value_gains,-481.106,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-481.106,"Removes non-operating fair-value gains; owners-column amount in the total-group reconciliation."
2025,low,3,goodwill_and_intangible_impairment,96.352,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+96.352,"Owners-column amount; some impairment relates to the discontinued beauty business, so the continuing allocation is not exact."
2025,low,4,impairment_of_associates_and_joint_ventures,2.125,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+2.125,"Owners-column amount."
2025,low,5,alibaba_cb_ifrs2_issuance_expense,511.811,RMB_mn,RMB,financing_one_off,derived_from_audited_reconciliation,F01,"PDF 23 and PDF 264 (report pp.21 and 262)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+511.811,"Added back only for recurring operating owner earnings because it is a one-time financing issuance charge; it remains a real owner-value transfer and is captured in the debt and dilution bridges."
2025,low,6,tax_effects_of_normalising_adjustments,123.075,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,+123.075,"Uses the owners-column tax effect supplied by the company; it is not a separately disclosed continuing-operations tax allocation."
2025,low,7,other_one_off_gains,-8.943,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-8.943,"Removes company-identified other one-off gains."
2025,low,8,employee_share_based_compensation_adjustment,0.000,RMB_mn,RMB,continuing_operations,research_policy,F01,"PDF 23 (report p.21)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,0,"RMB118.496m of employee share-based compensation was already expensed under IFRS and is retained as an owner cost; it is not added back."
2025,low,9,normalised_continuing_earnings_after_noncore_items,940.877,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,F01,"PDF 23 and PDF 200 (report pp.21 and 198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"697.563-481.106+96.352+2.125+511.811+123.075-8.943","Acquisition amortisation is not separately added here because total D&A is added in the next line; employee SBC remains an expense."
2025,low,10,depreciation_and_amortisation_added_back,83.875,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"35.709 PPE depreciation + 15.678 intangible amortisation + 32.488 ROU depreciation","The cash-flow note is group-wide and includes the discontinued business; a continuing-only split is not disclosed."
2025,low,11,maintenance_capex,-83.875,RMB_mn,RMB,scenario_assumption,research_scenario,F01,"PDF 24 and PDF 268 (report pp.22 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,-83.875,"Low case assumes maintenance investment equals total D&A; it is more conservative than reported cash capex."
2025,low,12,normalised_working_capital_benefit,0.000,RMB_mn,RMB,scenario_assumption,research_scenario,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,0,"Low case gives no credit for the cash benefit from rising contract liabilities and other working-capital movements."
2025,low,13,owner_earnings,940.877,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,F01,"PDF 23, 24, 200 and 268 (report pp.21, 22, 198 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"940.877+83.875-83.875+0","Not company guidance; continuing-only D&A, capex and working-capital splits are unavailable."
2025,base,1,normalised_continuing_earnings_after_noncore_items,940.877,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,F01,"PDF 23 and PDF 200 (report pp.21 and 198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"697.563-481.106+96.352+2.125+511.811+123.075-8.943","Employee SBC remains expensed."
2025,base,2,depreciation_and_amortisation_added_back,83.875,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"35.709+15.678+32.488","Continuing-only split is unavailable."
2025,base,3,maintenance_capex,-66.871,RMB_mn,RMB,scenario_assumption,research_scenario,F01,"PDF 24 and PDF 268 (report pp.22 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"-(83.875+49.867)/2","Midpoint of total D&A and reported cash capex; no company maintenance-capex disclosure."
2025,base,4,normalised_working_capital_benefit,0.000,RMB_mn,RMB,scenario_assumption,research_scenario,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,0,"Base case gives no credit for working-capital float until durability is proven over a longer cycle."
2025,base,5,owner_earnings,957.881,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,F01,"PDF 23, 24, 200 and 268 (report pp.21, 22, 198 and 266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"940.877+83.875-66.871+0","Not company guidance; maintenance capex is a scenario."
2025,high,1,normalised_continuing_earnings_after_noncore_items,940.877,RMB_mn,RMB,continuing_start_with_group_adjustments,derived,F01,"PDF 23 and PDF 200 (report pp.21 and 198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"697.563-481.106+96.352+2.125+511.811+123.075-8.943","Employee SBC remains expensed."
2025,high,2,depreciation_and_amortisation_added_back,83.875,RMB_mn,RMB,group_cash_flow_proxy,derived_from_audited_cash_flow_note,F01,"PDF 268 (report p.266)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"35.709+15.678+32.488","Continuing-only split is unavailable."
2025,high,3,maintenance_capex,-49.867,RMB_mn,RMB,scenario_assumption,research_scenario,F01,"PDF 24 (report p.22)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"-(25.968 PPE + 22.660 land-use rights + 1.239 intangibles)","High owner-earnings case treats all reported cash capex as maintenance capex."
2025,high,4,normalised_working_capital_benefit,49.647,RMB_mn,RMB,scenario_assumption,research_scenario,"F10;F09;F01","F10 PDF 239; F09 PDF 211; F01 PDF 268","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf","50% * median(18.246,99.293,275.574)","Only half of the three-year median operating working-capital cash benefit is credited; the calculation includes contract-liability float and remains a scenario."
2025,high,5,owner_earnings,1024.532,RMB_mn,RMB,continuing_operations_proxy,derived_scenario,"F10;F09;F01","F10 PDF 239; F09 PDF 211; F01 PDF 23, 24, 200 and 268","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf","940.877+83.875-49.867+49.647","Not company guidance; the working-capital benefit may reverse if subscription growth slows or refunds/platform settlement terms change."
