period,line_order,metric,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2022,5,closing_operating_capital,1265.118,RMB_mn,RMB,group,derived_from_audited,MT_AR2022,"PDF 160-161 (report pp.158-159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"441.239+27.870+659.841+25.591+350.633+684.914+54.371-734.098-245.243","Does not capitalise R&D."
2022,6,average_operating_capital,1404.314,RMB_mn,RMB,group,derived,MT_AR2022,"PDF 160-161 (report pp.158-159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"(1543.509+1265.118)/2",
2022,7,roic_proxy,-6.86,pct,NA,group_as_then_reported,derived_screening_proxy,MT_AR2022,"PDF 158 and PDF 160-161 (report pp.156 and 158-159)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"-96.368/1404.314*100","Not company-reported ROIC; expensed R&D is not capitalised and business scope later changed."
2023,1,core_operating_profit,272.437,RMB_mn,RMB,group_as_then_reported,derived_from_audited,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"1655.876-428.188-300.915-635.484-18.852","Excludes other income/losses, finance, associates and crypto/intangible impairment; not company-reported operating profit."
2023,2,normalised_cash_tax_rate,25.000,pct,NA,screening_proxy,research_policy,F01,"PDF 237 (report p.235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,25%,"Uses the standard PRC EIT rate as a conservative normalised rate; actual subsidiaries may qualify for 15% HNTE or other jurisdictions."
2023,3,nopat,204.328,RMB_mn,RMB,screening_proxy,derived,"F10;F01","F10 PDF 164; F01 PDF 237","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf","272.437*(1-25%)",
2023,4,opening_operating_capital,1265.118,RMB_mn,RMB,group,derived_from_audited,F10,"PDF 166-167 (report pp.164-165; 2022 comparatives)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"PPE + ROU + intangibles + inventory + trade receivables + prepayments/other receivables + contract costs - trade/other payables - contract liabilities","Includes all prepayments and other receivables; excludes cash, investments and tax balances."
2023,5,closing_operating_capital,1610.660,RMB_mn,RMB,group,derived_from_audited,F10,"PDF 166-167 (report pp.164-165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"464.129+75.513+775.754+53.838+387.747+919.635+92.838-735.209-423.585","Does not capitalise R&D."
2023,6,average_operating_capital,1437.889,RMB_mn,RMB,group,derived,F10,"PDF 166-167 (report pp.164-165)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,"(1265.118+1610.660)/2",
2023,7,roic_proxy,14.21,pct,NA,group_as_then_reported,derived_screening_proxy,"F10;F01","F10 PDF 164 and PDF 166-167; F01 PDF 237","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf","204.328/1437.889*100","Not company-reported ROIC; expensed R&D is not capitalised and business scope later changed."
2024,1,core_operating_profit,490.488,RMB_mn,RMB,continuing_operations,derived_from_audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"2277.812-477.856-396.014-910.703-2.751","Uses the restated continuing P&L; excludes other income/losses, crypto, finance, associates and CB items."
2024,2,normalised_cash_tax_rate,25.000,pct,NA,screening_proxy,research_policy,F01,"PDF 237 (report p.235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,25%,"Conservative standard PRC EIT rate; avoids using the unusually low reported tax charge affected by deferred-tax and jurisdiction mix."
2024,3,nopat,367.866,RMB_mn,RMB,screening_proxy,derived,F01,"PDF 199 and PDF 237 (report pp.197 and 235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"490.488*(1-25%)",
2024,4,opening_operating_capital,1610.660,RMB_mn,RMB,group,derived_from_audited,F09,"PDF 150-151 (report pp.148-149; 2023 comparatives)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"PPE + ROU + intangibles + inventory + trade receivables + prepayments/other receivables + contract costs - trade/other payables - contract liabilities","Balance sheet was not restated to a continuing-only basis."
2024,5,closing_operating_capital,1138.635,RMB_mn,RMB,group,derived_from_audited,F09,"PDF 150-151 (report pp.148-149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"469.863+52.100+519.602+73.457+407.014+921.668+136.226-786.428-654.867","Includes discontinued-business balances and all prepayments/other receivables; does not capitalise R&D."
2024,6,average_operating_capital,1374.648,RMB_mn,RMB,group,derived,F09,"PDF 150-151 (report pp.148-149)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,"(1610.660+1138.635)/2",
2024,7,roic_proxy,26.76,pct,NA,continuing_nopat_over_group_capital,derived_screening_proxy,"F01;F09","F01 PDF 199 and PDF 237; F09 PDF 150-151","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf; https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf","367.866/1374.648*100","Numerator is continuing while denominator is group-wide; this tends to understate ROIC if discontinued operations used positive capital, but expensed R&D tends to overstate ROIC."
2025,1,core_operating_profit,830.740,RMB_mn,RMB,continuing_operations,derived_from_audited,F01,"PDF 199 (report p.197)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"2838.813-599.571-451.401-945.370-11.731","Excludes other income/gains, finance, associates, goodwill impairment and the RMB511.811m CB issuance charge."
2025,2,normalised_cash_tax_rate,25.000,pct,NA,screening_proxy,research_policy,F01,"PDF 237 (report p.235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,25%,"Conservative standard PRC EIT rate; actual subsidiaries may qualify for 15% HNTE or other jurisdictions."
2025,3,nopat,623.055,RMB_mn,RMB,screening_proxy,derived,F01,"PDF 199 and PDF 237 (report pp.197 and 235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"830.740*(1-25%)",
2025,4,opening_operating_capital,1138.635,RMB_mn,RMB,group,derived_from_audited,F01,"PDF 202-203 (report pp.200-201; 2024 comparatives)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"PPE + ROU + intangibles + inventory + trade receivables + prepayments/other receivables + contract costs - trade/other payables - contract liabilities","Balance sheet was not restated to a continuing-only basis."
2025,5,closing_operating_capital,728.514,RMB_mn,RMB,group,derived_from_audited,F01,"PDF 202-203 (report pp.200-201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"458.937+54.171+397.021+7.310+523.058+690.141+179.415-732.755-848.784","Includes all prepayments and other receivables; does not capitalise R&D. Contract-liability float materially reduces the denominator."
2025,6,average_operating_capital,933.575,RMB_mn,RMB,group,derived,F01,"PDF 202-203 (report pp.200-201)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"(1138.635+728.514)/2",
2025,7,roic_proxy,66.74,pct,NA,continuing_nopat_over_group_capital,derived_screening_proxy,F01,"PDF 199, PDF 202-203 and PDF 237 (report pp.197, 200-201 and 235)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,"623.055/933.575*100","High result reflects subscription contract-liability float and expensed R&D; it is a screening indicator, not a stable economic ROIC estimate or company disclosure."
